District Name,School Code,School Name
PURNEA,11432,"UTKRAMIT UCHCH VIDYALAYA, GADHIYA VISHNUPUR, SRI NAGAR, PURANEA"
PURNEA,11433,"U M V, JEEWACHHPUR, BANMANKHI, PURNEA"
PURNEA,11434,"U M V, RAHRIYA KHUTTI, SRINAGAR, PURNEA"
PURNEA,11435,"U H/S SAUTHA, JALALGADH, PURNEA"
PURNEA,11436,"UTKRAMIT UCHCH MADHYAMIK VIDYALAYA, GADDI GHAT KANYA, RUPAULI, PURNEA"
PURNEA,11437,"U M V, CHAK, JALALGARH, PURNEA"
PURNEA,11438,"U M V, SAHURIYA, PURNEA"
PURNEA,11439,"U M V, PARTIYA, PURNEA"
PURNEA,11441,UCHH MADHAYAMIK VIDYALAYA MAHTHOUR
PURNEA,11442,UTKRAMIT MADHYAMIK VIDYALAY BELARIKABGANJ
PURNEA,11443,UTKRAMIT MADHYAMIK VIDHYALAY MAJHUA PREMRAJ
PURNEA,11444,UMS BHIKHNA
PURNEA,11445,UTKRAMIT MADHYMIK VIDHALAYA CHOPRA
PURNEA,11446,UCHCH MADHYAMIK VIDYALAY DAHUABARI
PURNEA,11447,"UCHCH MADHYAMIK VIDYALAYA, KABAIYA, PURNEA EAST,"
PURNEA,11448,U M V BARHARA
PURNEA,11449,UCHCH MADHYAMIK VIDYALAY DHAMDAHA UTTAR
PURNEA,11450,U.M.V BHOWA PRABAL
PURNEA,11451,UPRRADED HIGH SCHOOL ORLAHA B.KOTHI
PURNEA,11452,UCHCH MADHYAMIK VIDYALAY KULLAKHAS KASBA
PURNEA,11453,UHS SHRIPUR MALLAHTOLI
PURNEA,11454,HIGHER SECONDARY SCHOOL DIBRA DHANI
PURNEA,11455,UTKRAMIT MADHYAMIK VIDYALAYA TOLI BASEWELI
PURNEA,11456,UCHCHA MADHYMIK VIDYALAY RUPAULI UTTAR
PURNEA,11457,"UCHCH MADHYAMIK VIDYALAY, DARIYAPUR, DAGARUA, PURNIA"
PURNEA,11458,UCHCHH MADHYMIK VIDYALAY SINGHPUR DIYRA
PURNEA,11459,UTKRAMIT MADHYAMIK VIDYALAYA DUBAILI
PURNEA,11460,UCHCH MADHYAMIK VIDYALAY SABDALPUR
PURNEA,11461,UPGRADED HIGH SCHOOL SHILANATH RUPAULI
PURNEA,11462,UTKRAMIT MADHYAMIK SCHOOL BIKRAMPUR MAHENDRAPUR
