S. No.,School Code,School Name,Address,Pincode,Block ID,District ID,District Name,Block Name
179,11415,"UTKRAMIT HIGH SCHOOL, ALINAGAR I.K. NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
180,11416,"UTKRAMIT HIGH SCHOOL, DHARHAR YAMUNIYAN, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
181,11417,"UTKRAMIT HIGH SCHOOL, SIMRA, RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
182,11418,"UTKRAMIT HIGH SCHOOL, SHRIPUR, BHAWANIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
183,11419,"UTKRAMIT HIGH SCHOOL, SHAIKHPURA, BHAWANIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
184,11420,"UTKRAMIT HIGH SCHOOL, BARDELA, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
185,11421,"UTKRAMIT HIGH SCHOOL, KUKRAUN MAKTAB, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
186,11422,"UTKRAMIT HIGH SCHOOL, BARIYA, BYASI, PURNEA",,,1128,11,PURNEA,BANMANKHI
187,11423,"UTKRAMIT HIGH SCHOOL, CHANDRAHI, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
188,11424,"UTKRAMIT H.S BAGHWA KANYA, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
189,11425,"UTKARMIT UCHCH  VIDYALAYA (SCHEDULED CASTE), DAMAILI, PURNEA",,,1128,11,PURNEA,BANMANKHI
190,11426,"UTKARMIT UCHCH  VIDYALAYA, DHAUKARDHARA, PURNEA",,,1128,11,PURNEA,BANMANKHI
191,11427,"UTKARMIT MADHYAMIK UCHCH  VIDYALAYA, MALHARIYA",,,1128,11,PURNEA,BANMANKHI
192,11428,"U M S, SHINDHIYA, DAGARUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
193,11429,"UTKRAMIT UCHCH VIDYALAYA, BELA CHAND SUKHIYA, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
194,11430,"UPGRADED SECONDARY SCHOOL, SINGHIA, SRINAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
195,11431,"GEETA SHIVRAJ U H/S, MALI, DHAMDAHA, PURANEA",,,1128,11,PURNEA,BANMANKHI
196,11432,"UTKRAMIT UCHCH VIDYALAYA, GADHIYA VISHNUPUR, SRI NAGAR, PURANEA",,,1128,11,PURNEA,BANMANKHI
197,11433,"U M V, JEEWACHHPUR, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
198,11434,"U M V, RAHRIYA KHUTTI, SRINAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
199,11435,"U H/S SAUTHA, JALALGADH, PURNEA",,,1128,11,PURNEA,BANMANKHI
200,11436,"UTKRAMIT UCHCH MADHYAMIK VIDYALAYA, GADDI GHAT KANYA, RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
201,11437,"U M V, CHAK, JALALGARH, PURNEA",,,1128,11,PURNEA,BANMANKHI
202,11438,"U M V, SAHURIYA, PURNEA",,,1128,11,PURNEA,BANMANKHI
203,11439,"U M V, PARTIYA, PURNEA",,,1128,11,PURNEA,BANMANKHI
204,11501,HIGH SCHOOL SARWAILY AMOUR PURNEA,,,1128,11,PURNEA,BANMANKHI
205,11502,"SHIV SAHAYA SAGARMAL GIRL'S H S BIROULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
206,11503,JOKHAN HIGH SCHOOL BELTARI PURNEA,,,1128,11,PURNEA,BANMANKHI
207,11504,KAMAKHYA HIGH SCHOOL KAMAKHYASTHAN PURNEA,,,1128,11,PURNEA,BANMANKHI
208,11505,HIGH SCHOOL BAHDURA PURNEA,,,1128,11,PURNEA,BANMANKHI
209,11506,KHALIKUL NISHA SAJJAD MILLAR H/S PURNEA,,,1128,11,PURNEA,BANMANKHI
210,11507,KANYA UCHCHA VIDYALAYA BHATTA PURNEA,,,1128,11,PURNEA,BANMANKHI
211,11508,HIGH SCHOOL DIBRA BAZAR PURNEA,,,1128,11,PURNEA,BANMANKHI
212,11509,MUNGA LAL HIGH SCHOOL ORLAHA PURNEA,,,1128,11,PURNEA,BANMANKHI
213,11510,D C HIGH SCHOOL BARDELA PURNEA,,,1128,11,PURNEA,BANMANKHI
214,11511,HIGH SCHOOL BARAIDGAH PURNEA,,,1128,11,PURNEA,BANMANKHI
215,11512,HIGH SCHOOL CHAKMAKA PURNEA,,,1128,11,PURNEA,BANMANKHI
216,11701,ST.PETER'S HIGH SCHOOL PURNEA,,,1128,11,PURNEA,BANMANKHI
217,11703,"BHOLANATH RAJ VIDYANAND H S B NAGAR SHAHKOL, PURNEA",,,1128,11,PURNEA,BANMANKHI
218,11704,MOHAN LAL BAJAJ GIRLS H S GULABBAGH PURNEA,,,1128,11,PURNEA,BANMANKHI
219,12001,"L S HIGH SCHOOL PALASI PATEGNA, ARARIA",,,1112,12,ARARIA,NARPATGANJ
220,12002,"S HIGH SCHOOL BELSARA, ARARIA",,,1112,12,ARARIA,NARPATGANJ
221,12003,"HIGH SCHOOL KALIAGANJ, ARARIA",,,1112,12,ARARIA,NARPATGANJ
222,12004,"PROJECT HIGH SCHOOL SIKTY, ARARIA",,,1112,12,ARARIA,NARPATGANJ
223,12005,"L B S S HIGH SCHOOL PALASI, ARARIA",,,1112,12,ARARIA,NARPATGANJ
224,12006,"PROJECT GIRLS HIGH SCHOOL KALIAGANJ, ARARIA",,,1112,12,ARARIA,NARPATGANJ
