School Code,School Name,District Name,Block Name
11406,"UTKRAMIT HIGH SCHOOL, MAJHUA, PURNEA EAST, PURNEA",PURNEA,BANMANKHI
11407,"UTKRAMIT HIGH SCHOOL, LASANPUR, DAGRUA, PURNEA",PURNEA,BANMANKHI
11408,"UTKRAMIT HIGH SCHOOL, LALOGARH, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11409,"UTKRAMIT HIGH SCHOOL, GANGAILI, AMOUR, PURNEA",PURNEA,BANMANKHI
11410,"UTKRAMIT HIGH SCHOOL, PARASMANI, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11411,"UTKRAMIT HIGH SCHOOL, BAKHRIKOL, K. NAGAR, PURNEA",PURNEA,BANMANKHI
11412,"UTKRAMIT HIGH SCHOOL, CHAPAY GANGELI, K. NAGAR, PURENA, PURNEA",PURNEA,BANMANKHI
11413,"UTKRAMIT HIGH SCHOOL, RAHUA WEST, K. NAGAR, PURNEA",PURNEA,BANMANKHI
11414,"UTKRAMIT HIGH SCHOOL, BARAHKONA, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11415,"UTKRAMIT HIGH SCHOOL, ALINAGAR I.K. NAGAR, PURNEA",PURNEA,BANMANKHI
11416,"UTKRAMIT HIGH SCHOOL, DHARHAR YAMUNIYAN, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11417,"UTKRAMIT HIGH SCHOOL, SIMRA, RUPAULI, PURNEA",PURNEA,BANMANKHI
11418,"UTKRAMIT HIGH SCHOOL, SHRIPUR, BHAWANIPUR, PURNEA",PURNEA,BANMANKHI
11419,"UTKRAMIT HIGH SCHOOL, SHAIKHPURA, BHAWANIPUR, PURNEA",PURNEA,BANMANKHI
11420,"UTKRAMIT HIGH SCHOOL, BARDELA, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11421,"UTKRAMIT HIGH SCHOOL, KUKRAUN MAKTAB, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11422,"UTKRAMIT HIGH SCHOOL, BARIYA, BYASI, PURNEA",PURNEA,BANMANKHI
11423,"UTKRAMIT HIGH SCHOOL, CHANDRAHI, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11424,"UTKRAMIT H.S BAGHWA KANYA, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11425,"UTKARMIT UCHCH  VIDYALAYA (SCHEDULED CASTE), DAMAILI, PURNEA",PURNEA,BANMANKHI
11426,"UTKARMIT UCHCH  VIDYALAYA, DHAUKARDHARA, PURNEA",PURNEA,BANMANKHI
11427,"UTKARMIT MADHYAMIK UCHCH  VIDYALAYA, MALHARIYA",PURNEA,BANMANKHI
11428,"U M S, SHINDHIYA, DAGARUA, PURNEA",PURNEA,BANMANKHI
11429,"UTKRAMIT UCHCH VIDYALAYA, BELA CHAND SUKHIYA, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11430,"UPGRADED SECONDARY SCHOOL, SINGHIA, SRINAGAR, PURNEA",PURNEA,BANMANKHI
11431,"GEETA SHIVRAJ U H/S, MALI, DHAMDAHA, PURANEA",PURNEA,BANMANKHI
11432,"UTKRAMIT UCHCH VIDYALAYA, GADHIYA VISHNUPUR, SRI NAGAR, PURANEA",PURNEA,BANMANKHI
11433,"U M V, JEEWACHHPUR, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11434,"U M V, RAHRIYA KHUTTI, SRINAGAR, PURNEA",PURNEA,BANMANKHI
11435,"U H/S SAUTHA, JALALGADH, PURNEA",PURNEA,BANMANKHI
11436,"UTKRAMIT UCHCH MADHYAMIK VIDYALAYA, GADDI GHAT KANYA, RUPAULI, PURNEA",PURNEA,BANMANKHI
11437,"U M V, CHAK, JALALGARH, PURNEA",PURNEA,BANMANKHI
11438,"U M V, SAHURIYA, PURNEA",PURNEA,BANMANKHI
11439,"U M V, PARTIYA, PURNEA",PURNEA,BANMANKHI
11501,HIGH SCHOOL SARWAILY AMOUR PURNEA,PURNEA,BANMANKHI
11502,"SHIV SAHAYA SAGARMAL GIRL'S H S BIROULI, PURNEA",PURNEA,BANMANKHI
11503,JOKHAN HIGH SCHOOL BELTARI PURNEA,PURNEA,BANMANKHI
11504,KAMAKHYA HIGH SCHOOL KAMAKHYASTHAN PURNEA,PURNEA,BANMANKHI
11505,HIGH SCHOOL BAHDURA PURNEA,PURNEA,BANMANKHI
11506,KHALIKUL NISHA SAJJAD MILLAR H/S PURNEA,PURNEA,BANMANKHI
11507,KANYA UCHCHA VIDYALAYA BHATTA PURNEA,PURNEA,BANMANKHI
11508,HIGH SCHOOL DIBRA BAZAR PURNEA,PURNEA,BANMANKHI
11509,MUNGA LAL HIGH SCHOOL ORLAHA PURNEA,PURNEA,BANMANKHI
11510,D C HIGH SCHOOL BARDELA PURNEA,PURNEA,BANMANKHI
11511,HIGH SCHOOL BARAIDGAH PURNEA,PURNEA,BANMANKHI
11512,HIGH SCHOOL CHAKMAKA PURNEA,PURNEA,BANMANKHI
11701,ST.PETER'S HIGH SCHOOL PURNEA,PURNEA,BANMANKHI
11703,"BHOLANATH RAJ VIDYANAND H S B NAGAR SHAHKOL, PURNEA",PURNEA,BANMANKHI
11704,MOHAN LAL BAJAJ GIRLS H S GULABBAGH PURNEA,PURNEA,BANMANKHI
12001,"L S HIGH SCHOOL PALASI PATEGNA, ARARIA",ARARIA,NARPATGANJ
12002,"S HIGH SCHOOL BELSARA, ARARIA",ARARIA,NARPATGANJ
12003,"HIGH SCHOOL KALIAGANJ, ARARIA",ARARIA,NARPATGANJ
12004,"PROJECT HIGH SCHOOL SIKTY, ARARIA",ARARIA,NARPATGANJ
12005,"L B S S HIGH SCHOOL PALASI, ARARIA",ARARIA,NARPATGANJ
12006,"PROJECT GIRLS HIGH SCHOOL KALIAGANJ, ARARIA",ARARIA,NARPATGANJ
12007,"R A HIGH SCHOOL HANSA KAMALPUR, ARARIA",ARARIA,NARPATGANJ
12008,"M M PROJECT GIRLS H/S PAHUNSI, ARARIA",ARARIA,NARPATGANJ
12009,"V N HIGH SCHOOL BHOJPUR, ARARIA",ARARIA,NARPATGANJ
12010,"PROJECT GIRLS HIGH SCHOOL BARDAHA, ARARIA",ARARIA,NARPATGANJ
12011,"ZAKIR ACADEMY DEHTI, ARARIA",ARARIA,NARPATGANJ
12012,S S GIRLS HIGH SCHOOL ARARIA,ARARIA,NARPATGANJ
12013,"H S URLAHA, ARARIA",ARARIA,NARPATGANJ
12014,"B L D HIGH SCHOOL RANIGANJ, ARARIA",ARARIA,NARPATGANJ
12015,AZAD ACADEMY ARARIA,ARARIA,NARPATGANJ
12016,"HIGH SCHOOL KUARI, ARARIA",ARARIA,NARPATGANJ
12017,"M G S HIGH SCHOOL ARARIA R S, ARARIA",ARARIA,NARPATGANJ
12018,"P N HIGH SCHOOL SOHANDARHAT, ARARIA",ARARIA,NARPATGANJ
12019,"UMA NATH ROY HIGH SCHOOL UDAHAT, ARARIA",ARARIA,NARPATGANJ
12020,"HIGH SCHOOL MALHARAIA, ARARIA",ARARIA,NARPATGANJ
12021,"HIGH SCHOOL BARDAHA, ARARIA",ARARIA,NARPATGANJ
12022,"LALJEE HIGH SCHOOL RANIGANJ, ARARIA",ARARIA,NARPATGANJ
12023,"HIGH SCHOOL JOKIHAT, ARARIA",ARARIA,NARPATGANJ
12024,"MOTI HIGH SCHOOL MADANPUR, ARARIA",ARARIA,NARPATGANJ
12025,"KALAWATI GIRLS HIGH SCHOOL RANIGANJ, ARARIA",ARARIA,NARPATGANJ
12026,"HIGH SCHOOL KURSAKANTA, ARARIA",ARARIA,NARPATGANJ
12027,HIGH SCHOOL ARARIA,ARARIA,NARPATGANJ
12028,"HIGH SCHOOL SIMRAHA, ARARIA",ARARIA,NARPATGANJ
12029,"LEE ACADEMY FOR BES GANJ, ARARIA",ARARIA,NARPATGANJ
12030,"HIGH SCHOOL NARPATGANJ, ARARIA",ARARIA,NARPATGANJ
12031,"HIGH SCHOOL JOGBANI, ARARIA",ARARIA,NARPATGANJ
12032,"B D G G HIGH SCHOOL FOR BES GANJ, ARARIA",ARARIA,NARPATGANJ
12033,"S D D N G GOVT H/S FOR BES GANJ, ARARIA",ARARIA,NARPATGANJ
12034,"RAM NANDAN HIGH SCHOOL RAMAI, ARARIA",ARARIA,NARPATGANJ
12035,"D D S HIGH SCHOOL FOR BES GANJ, ARARIA",ARARIA,NARPATGANJ
12036,"K D H/S FULKAHA NAWABGANJ, ARARIA",ARARIA,NARPATGANJ
12037,"J HIGH SCHOOL PITHAURA, ARARIA",ARARIA,NARPATGANJ
12038,"JAWAHAR HIGH SCHOOL BHARGAMA, ARARIA",ARARIA,NARPATGANJ
12039,"RAMLAL HIGH SCHOOL HARIPUR DAK, ARARIA",ARARIA,NARPATGANJ
12040,"S D R HIGH SCHOOL MAHATHAWA, ARARIA",ARARIA,NARPATGANJ
12041,"D B H S BEER NAGAR BISHARIA, ARARIA",ARARIA,NARPATGANJ
12042,"GOVT AMBEDKAR HIGH SCHOOL RAMPUR, ARARIA",ARARIA,NARPATGANJ
12043,"PROJECT GIRLS H/S NAR PATGANJ, ARARIA",ARARIA,NARPATGANJ
12044,"HIGH SCHOOL SIMARBANI, ARARIA",ARARIA,NARPATGANJ
12045,"PROJECT KANYA H S JOKIHAT, ARARIA",ARARIA,NARPATGANJ
12046,"+2 PROJECT GIRLS HIGH SCHOOL, BHARGAMA,ARARIA",ARARIA,NARPATGANJ
12301,UTKRAMIT M S PAIKTOLA ARARIA,ARARIA,NARPATGANJ
12302,UTKRAMIT M S BANSBARI ARARIA,ARARIA,NARPATGANJ
12303,"UTKRAMIT M S MADHUBANI KHERKHA FORBESGANJ, ARARIA",ARARIA,NARPATGANJ
12304,"UTKRAMIT M S TERHI MUSAHARI FORBESGANJ, ARARIA",ARARIA,NARPATGANJ
12305,"UTKRAMIT M S BHOONA JOKIHAT MAJAGAMA, ARARIA",ARARIA,NARPATGANJ
12306,"UTKRAMIT M S RUPAIL MADHAL PALASI, ARARIA",ARARIA,NARPATGANJ
