School Code,School Name,District Code
85034,"S N S H/S BAKHTARI MANJHOPUR, ARWAL",85
85035,"S P GUPTA HIGH SCHOOL TAKEYA, ARWAL",85
85036,"S M HIGH SCHOOL KHATANGI, ARWAL",85
85037,"RAMESHWAR HIGH SCHOOL BAMBHAI, ARWAL",85
85038,"MAHAVIR HIGH SCHOOL JHUNATHI, ARWAL",85
85039,"S P HIGH SCHOOL NADI, ARWAL",85
85040,"L N MISHRA HIGH SCHOOL DARIYAPUR, ARWAL",85
85041,HIGH SCHOOL ITWAN ARWAL,85
85042,DR. BHIMRAO AMBEDKAR GIRLS ARWAL,85
85301,"UTKRAMIT MADHYAMIK SCHOOL KHAJURI, KARPI, ARWAL",85
85302,"UTKRAMIT MADHYAMIK SCHOOL ANDHARACHAK, KARPI, ARWAL",85
85303,"UTKRAMIT MADHYAMIK SCHOOL USARI, KALER, ARWAL",85
85304,"+2 UTKRAMIT HIGH SCHOOL WALIDAD,    KALER, ARWAL",85
85305,"UTKRAMIT MADHYAMIK SCHOOL  KAITHALODIPUR KURTHA, ARWAL",85
85306,"U M S PONDIL, SONEBHADRA VANSI SURYAPUR, ARWAL",85
85307,"UTKRAMIT M S RAMPUR CHOURAM, ARWAL",85
85308,"UTKARMIT MADHYA VIDYALAYA,SHERPUR,SONDHADRA BANSHI SURYAPUR, ARWAL",85
85309,"UTKARMIT MADHYAMIK VIDYALAYA, MURARI , KARPI, ARWAL",85
85310,U.H.S.BELAW,85
85311,U.H.S.BENIPUR,85
85312,U.H.S.RAMPUR CHAY,85
85313,UTKRAMIT UCHCH MADHYAMIK VIDYALAYA WASILPUR BHUSURA ARWAL,85
85314,UTKRAMIT UCHCH MADHYAMIK VIDYALAYA PYARECHAK SARWAN ARWAL,85
85315,HS BHADASI,85
85316,UPGRADED HIGH SECONDARY SCHOOL PARASI SUMERA ARWAL,85
85317,UCHCH MADHYAMIK VIDLYA SAKARI IBRAHIMPUR ARWAL,85
85318,UPGRADED HIGH SECONDARY SCHOOL NADAURA MEDNIPUR BARAHIYA,85
85319,UTKRAMIT UCHCH MADHYAMIC VIDYALAYA BALAURA SENARI,85
85320,UTKRAMIT UCHCHA MADHYAMIC VIDYALAY IBRAHAMPUR,85
85321,UTKRMIT UCHCHA MADHYAMIK VIDYALAYA DHAMAUL KURTHA,85
85322,HIGH SCHOOL AMRA,85
85323,"UPGRADED HIGH SCHOOL PAHLEJA, KALER, ARWAL",85
85324,UTKRAMIT MADHYAMIK SCHOOL DORRA TERRA KARPI ARWAL,85
85325,UCHCH MADHYAMIC VIDYALAYA MANIKPUR KURTHA ARWAL,85
85326,U.H.S.SCHOOL KHARASIN JINDAPUR BANSHI,85
85327,UTKRAMIT UCHCH MADHYAMIK VIDYALAYA KOCHAHASA KARPI,85
85328,UTKRAMIT HIGHER SECONDARY SCHOOL BELKHARA KARPI ARWAL,85
85329,M.S. HIRDAYCHAK,85
85330,UTKAMIT UCHCHA MADHYAMIK VIDYALA PURAINIYA KARPI ARWAL,85
85331,HIGH SECONDARY SCHOOL SAKRI KHURD ARWAL,85
85333,UPGRADE UCHCA MADHYMIK SCHOOL CHAUHAR KUDRASI,85
85501,"SAHDEO PRASAD YADAV GIRL'S H S MUBARAKPUR KUR, ARWAL",85
85502,"PRAGATISHIL H S KHARASIN BANSI, ARWAL",85
85503,"SAHDEO PRASAD YADAV H S MANIKPUR KURTHA, ARWAL",85
85504,"SHYAM SUNDER H S AKRAUNJA BANSI, ARWAL",85
85505,"KHADERAN SINGH H S RAMLAGAN BIGHA, ARWAL",85
85506,"H S RAMNAGAR KOCHAHASA KARPI, ARWAL",85
85507,"TERIHARI H S TERI, ARWAL",85
85508,"YADUNANDAN SHARMA H S MANJHIYAWAN KURTHA, ARWAL",85
85509,"S I G H RES PRA SHA UCHA VIDHAYA KEMDARCHAK, ARWAL",85
85510,"SRI RAMPRAPANNA CHARYA H/S BELSAR, ARWAL",85
85511,"HIGH SCHOOL RAMPURWAINA, ARWAL",85
85702,"K P SINGH YADAV +2 COLLEGE KARPI, ARWAL",85
85703,"SARDAR PATEL +2 H/S 12-MILE PARIYARI BAZAR, ARWAL",85
85707,DR. RAM NARAYAN PRASAD +2 H/S ARWAL,85
85332,"UTKRAMIT UCHCH MADHYAMIK VIDYALAY BELSAR, RAJPURA, KALERA, ARWAL",85
83001,ANUGRAH INTER SCHOOL AURANGABAD,83
83002,TOWN INTER SCHOOL AURANGABAD,83
83003,RAJARSHI VIDYA MANDIR AURANGABAD,83
83004,ANUGRAH GIRLS H/S AURANGABAD,83
83005,KISHORI SINHA GIRLS H/S AURANGABAD,83
83006,"R K ANUGRAH HIGH SCHOOL MADANPUR, AURANGABAD",83
83007,"PROJECT GIRLS HIGH SCHOOL MADANPUR, AURANGABAD",83
83008,"R J HIGH SCHOOL DEO, AURANGABAD",83
83009,"R B K PROJECT HIGH SCHOOL DEO, AURANGABAD",83
83010,"HIGH SCHOOL NABINAGAR, AURANGABAD",83
83011,"GIRLS HIGH SCHOOL NABINAGAR, AURANGABAD",83
83012,"S N S HIGH SCHOOL NABINAGAR ROAD, AURANGABAD",83
83013,"R B R HIGH SCHOOL RAFIGANJ, AURANGABAD",83
83014,"GIRLS HIGH SCHOOL RAFIGANJ, AURANGABAD",83
83015,HIGH SCHOOL BARUN AURANGABAD,83
83016,"PROJECT GIRLS HIGH SCHOOL BARUN, AURANGABAD",83
83017,"HIGH SCHOOL CHILHKI AMBA, AURANGABAD",83
83018,"GIRLS HIGH SCHOOL AMBA, AURANGABAD",83
83019,"HIGH SCHOOL JAMHORE, AURANGABAD",83
83020,"M L L N GIRLS HIGH SCHOOL JAMHORE, AURANGABAD",83
83021,"K HIGH SCHOOL SONENAGAR, AURANGABAD",83
83022,"S S HIGH SCHOOL BAHURIYA BIGHA, AURANGABAD",83
83023,"J P HIGH SCHOOL DHARAMPURA, AURANGABAD",83
83024,"HIGH SCHOOL PHULDIHA, AURANGABAD",83
83025,"HIGH SCHOOL KUTUMBA, AURANGABAD",83
83026,"M P HIGH SCHOOL KETAKI, AURANGABAD",83
83027,"HIGH SCHOOL JAIHIND TENDUA, AURANGABAD",83
83028,"R D B HIGH SCHOOL SUNDER GANJ, AURANGABAD",83
83029,"HIGH SCHOOL BERI, AURANGABAD",83
83030,"R B HIGH SCHOOL RIYASAT PAWAI, AURANGABAD",83
83031,"HIGH SCHOOL SIRIS, AURANGABAD",83
83032,"JANTA HIGH SCHOOL SALAIYA, AURANGABAD",83
83033,"HIGH SCHOOL TANDWA, AURANGABAD",83
83034,"M G HIGH SCHOOL NAUR, AURANGABAD",83
83035,"R K J HIGH SCHOOL CHARAN MAHADEWA, AURANGABAD",83
83036,"HIGH SCHOOL LAUWABAR SIKARIYA, AURANGABAD",83
83037,"RAJKIYA KRIT HIGH SCHOOL WAR, AURANGABAD",83
83038,"S R R HIGH SCHOOL GHATRAIN BANIYA, AURANGABAD",83
83039,"S B HIGH SCHOOL BISHNUPUR, AURANGABAD",83
83040,"HIGH SCHOOL SAYA, AURANGABAD",83
83041,"HIGH SCHOOL MAHARAJ GANJ, AURANGABAD",83
83042,"HIGH SCHOOL PAUTHOO, AURANGABAD",83
83043,"HIGH SCHOOL BHADWA, AURANGABAD",83
83044,"R N HIGH SCHOOL JAKHIM, AURANGABAD",83
83045,"HIGH SCHOOL ARTHUA, AURANGABAD",83
83046,"HIGH SCHOOL LATTAGARH, AURANGABAD",83
83047,"R K M S S HIGH SCHOOL ANKORHA, AURANGABAD",83
83048,"HIGH SCHOOL GANGHAR, AURANGABAD",83
83049,"K D HIGH SCHOOL KHADIHA, AURANGABAD",83
83050,"HIGH SCHOOL GANESH NAGAR MANIKA, AURANGABAD",83
83051,"HIGH SCHOOL DUMARI, AURANGABAD",83
83052,"HIGH SCHOOL KARMA (RAFIGANJ), AURANGABAD",83
83053,"Y HIGH SCHOOL GAZI KARMA, AURANGABAD",83
83054,"GOVT RAJ KUMAR HIGH SCHOOL BERHNA, AURANGABAD",83
83055,"T K HIGH SCHOOL DOSMA, AURANGABAD",83
83056,"K HIGH SCHOOL JAGDISHPUR, AURANGABAD",83
83057,"HIGH SCHOOL BASDIHA KALA, AURANGABAD",83
83058,"HIGH SCHOOL JOGIA KANS, AURANGABAD",83
83059,"J P HIGH SCHOOL LUCCA GARH, AURANGABAD",83
83060,"M S S B HIGH SCHOOL DHUNDHUA, AURANGABAD",83
83061,"N S Y HIGH SCHOOL TERI POKHARAHAN, AURANGABAD",83
83062,"S D PUNPUN HIGH SCHOOL BAIRIYA, AURANGABAD",83
83063,"ASHOK HIGH SCHOOL DAUD NAGAR, AURANGABAD",83
83064,"PATEL HIGH SCHOOL DAUDNAGAR, AURANGABAD",83
83065,"RASTRIYA HIGH SCHOOL DAUDNAGAR, AURANGABAD",83
83066,"QUADRI HIGH SCHOOL DAUDNAGAR, AURANGABAD",83
83067,"GIRLS HIGH SCHOOL DAUDNAGAR, AURANGABAD",83
83068,"G S HIGH SCHOOL GOH, AURANGABAD",83
83069,"PROJECT GIRLS HIGH SCHOOL GOH, AURANGABAD",83
